,job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url,rate_by,min,max,adjusted_salary,yearly_adjusted_salary,salary_bins
393,Sr. Business Analyst/Project Manager,$45 - $75 an hour,"Iyka Enterprises, Inc.","Chicago, IL",Temporarily remote,,"Framework for collecting Facilities data - systems, taxonomy, data input requirements, and links to financial data.
Establish data and process governance.",14 days ago,2021-01-15,https://www.indeed.com/company/Iyka/jobs/Senior-Business-Analyst-Project-Manager-e280a2cab96a9980?fccid=437ba50818e7cc0c&vjs=3,Hourly,45.0,75.0,60.0,146640.0,120K - 150K
430,Digital Media Analyst,"$65,000 - $72,000 a year",Movéo,"Chicago, IL",,3.0,"Experience with pulling data from CRM and Marketing Automation software a plus.
Exeprience with pulling data from CRM and Marketing Automation software a plus.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d205405009c51300&fccid=d00a91800a1ed958&vjs=3,Yearly,65000.0,72000.0,68500.0,68500.0,50K - 70K
439,Business Analyst | REMOTE,"$60,000 - $65,000 a year",GoGiles,"Chicago, IL",Remote,,You collaborate with a cross-functional team that includes developers and business analysts to execute polished deliverables.,24 days ago,2021-01-15,https://www.indeed.com/company/GoGiles/jobs/Business-Analyst-Remote-3882893b842a8298?fccid=f5f1f705620d848a&vjs=3,Yearly,60000.0,65000.0,62500.0,62500.0,50K - 70K
562,Entry Level Business Analyst,"$60,000 - $65,000 a year",BACloudSystems,"Chicago, IL",,,"Bacloudsystems is looking for Business analyst, who is responsible for conducting full life-cycle analysis to include requirements, activities and design.",Today,2021-01-15,https://www.indeed.com/company/BACloudSystems/jobs/Entry-Level-Business-Analyst-19f9b89acbb8c220?fccid=d850b3ee120c31ef&vjs=3,Yearly,60000.0,65000.0,62500.0,62500.0,50K - 70K
563,Entry Level Business Analyst,"$60,000 - $65,000 a year",PROMARKETEXCHANGE,"Chicago, IL",,,"Work with business partners to understand their business processes and challenges to help achieve continuous improvement.
Job Types: Full-time, Contract.",1 day ago,2021-01-15,https://www.indeed.com/company/PROMARKETEXCHANGE/jobs/Entry-Level-Business-Analyst-7341853277bf32ce?fccid=e2205045dc62a1c0&vjs=3,Yearly,60000.0,65000.0,62500.0,62500.0,50K - 70K
1,"Data Scientist, Climate Change Solutions","$75,000 - $80,000 a year",Environmental Law & Policy Center,"Chicago, IL",Temporarily remote,,"Projects may include geospatial analysis of air pollution trends and flood risks throughout the Midwest, generating and analyzing data on agricultural impacts…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGinElso71GRsbB5UHNgiaaIzp37xy9LJ3YvrBD4apYl9er-TXWwj7zqW9dpgNXM47HqdcTA3tNc8-3S94kD0r24dh0Z3gt5Ea6c0_4N-JesfZg_w21M6m34aVhcir1nqZdJNbue0rApeZpdgJ4PuyJ-dWtnRyPiUyUlALkV5-5zixypxR1ngTKSTwe-4cwsPPWKaLh8XV4_IwsAinUkue5e9El7OcMc_aB8tqBdn9v3H9jfd3QYaC_KTAy0TG0gQaP2aB53IL4LjKVKwkyP4_6vFU_pmJP3U5JmCWeVG_pem3Q0O5_1HK9Q3Gyfm7zpFGK0EidiAGNPS9BprjdQn64CsfFWTSGZlfqH47zhMN94Sx3vJqNlofE_cb4PxSXnDaNGEVnMZCESbGBsK4iCEURomrGkMUz8JfUp6tBo33Qcc2KJF1e15SjIK07-R_26s3UlLCk6CUEuX2lk1wQXQfGnsIv1COyZX1KeI-FV9cmg==&p=1&fvj=1&vjs=3,Yearly,75000.0,80000.0,77500.0,77500.0,70K - 90K
7,Data Scientist,"$79,645 - $160,861 a year","Vertical Trail, LLC","Chicago, IL",Remote,,"Experience analyzing large scale enterprise-level data, financial analytics experience is highly preferred.
Deploying, developing, and maintaining data models…",8 days ago,2021-01-15,https://www.indeed.com/company/Vertical-Trail/jobs/Data-Scientist-e5d7dea5a57d6ffd?fccid=20945f2f86a6c53a&vjs=3,Yearly,79645.0,160861.0,120253.0,120253.0,120K - 150K
96,Machine Learning Engineer,"$110,000 - $150,000 a year",Sky RPO,"Chicago, IL",Temporarily remote,,"Demonstrate end-to-end understanding of applications (including, but not limited to, the machine learning algorithms) being created and maintain scalable…",3 days ago,2021-01-15,https://www.indeed.com/company/Sky-Consulting/jobs/Machine-Learning-Engineer-6def285b9db51a04?fccid=5e049852524685ca&vjs=3,Yearly,110000.0,150000.0,130000.0,130000.0,120K - 150K
99,"Software Engineer, Applied Machine Learning","$90,000 - $120,000 a year","Prenosis, Inc.","Chicago, IL",Temporarily remote,,"Work with data scientist to design and implement machine learning pipelines and algorithms.
Work with data scientist to design and validate data and learning…",30+ days ago,2021-01-15,"https://www.indeed.com/company/Prenosis,-Inc./jobs/Software-Engineer-26d739ae9c5bb32b?fccid=c22bb53e2ddf6de1&vjs=3",Yearly,90000.0,120000.0,105000.0,105000.0,90K - 120K
161,Statistical Programmer,"$70,987 - $92,281 a year",Cooperative Studies Program Coordinating Center,"Hines, IL",Temporarily remote,,"Experience in clinical trials or healthcare data is helpful, but not required.
The Hines Cooperative Studies Program Coordinating Center (CSPCC) has an…",10 days ago,2021-01-15,https://www.indeed.com/company/Cooperative-Studies-Program-Coordinating-Center/jobs/Statistical-Programmer-1542457a0c42b5bf?fccid=be23a8b4314d9ec3&vjs=3,Yearly,70987.0,92281.0,81634.0,81634.0,70K - 90K
2,Machine Learning Engineer,"$110,000 - $150,000 a year",Sky RPO,"Chicago, IL",Temporarily remote,,"Building reusable production data pipelines for machine learning models.
Demonstrate end-to-end understanding of applications (including, but not limited to,…",3 days ago,2021-01-15,https://www.indeed.com/company/Sky-Consulting/jobs/Machine-Learning-Engineer-6def285b9db51a04?fccid=5e049852524685ca&vjs=3,Yearly,110000.0,150000.0,130000.0,130000.0,120K - 150K
3,"Software Engineer, Applied Machine Learning","$90,000 - $120,000 a year","Prenosis, Inc.","Chicago, IL",Temporarily remote,,"Prenosis is seeking a mid or senior level software engineer, ideally with machine learning/data science familiarity or experience.
Expert in Python or R.",30+ days ago,2021-01-15,"https://www.indeed.com/company/Prenosis,-Inc./jobs/Software-Engineer-26d739ae9c5bb32b?fccid=c22bb53e2ddf6de1&vjs=3",Yearly,90000.0,120000.0,105000.0,105000.0,90K - 120K
8,Engineer,$28.52 an hour,Oak Park and River Forest High School,"Oak Park, IL",,4.0,"Maintenance experience should include, but not be limited to plumbing, boilers, welding, air-conditioning, pools, pumps, compressors, pneumatic controls,…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ec704a5970659b3f&fccid=fc885c3a26ca49c7&vjs=3,Hourly,28.52,0.0,28.52,69702.88,50K - 70K
17,Software Engineer,"$90,000 - $130,000 a year",Mesh Plus Plus,"Chicago, IL",,,"We are looking for software engineers to assist in developing and testing our software stack, general networking, and integration with our customers’ systems.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=4137c74b81ff21e5&fccid=47e10e8e53942210&vjs=3,Yearly,90000.0,130000.0,110000.0,110000.0,90K - 120K
18,Junior Product Engineer,"$50,000 - $55,000 a year",Quinnox Inc,"Chicago, IL",,3.4,"Product Engineering - Integration Associate – FTE roles – Recent Graduates.
The Product Engineering role is for technology enthusiasts.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=786d915b15e12259&fccid=bc956dc6d749f322&vjs=3,Yearly,50000.0,55000.0,52500.0,52500.0,50K - 70K
19,Manufacturing Coordinator,Up to $19 an hour,Belden Universal (via FactoryFix.com),"Hillside, IL",,,"Strong computer skills and comfortable learning new technology – we will teach you how to use our ERP (Syspro), QMS (Unipoint), and record management system …",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=3b7e55300d9fd770&fccid=4e02009ac762556d&vjs=3,Hourly,19.0,0.0,19.0,46436.0,0 - 50K
41,Junior Cloud Infra Engineer,"$55,000 - $58,000 a year",Quinnox Inc,"Chicago, IL",,3.4,"Use your networking knowledge to setup and support dev teams with all cloud infra needs – ex: commissioning new machines, managing IAM etc.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=16dd59c66bea118b&fccid=bc956dc6d749f322&vjs=3,Yearly,55000.0,58000.0,56500.0,56500.0,50K - 70K
68,"Software Engineer, Frontend, Backend, Mobile (Remote)","$80,000 - $100,000 a year","Digital Diagnostics, Inc.","Chicago, IL",Remote,,"A track record of learning new technologies.
Tackle complex challenges and projects with the highest levels of quality and execution for audiences that include…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5d8467bd26d75d58&fccid=0fb2a8a8ceb5119c&vjs=3,Yearly,80000.0,100000.0,90000.0,90000.0,70K - 90K
154,"Senior Software Engineer, Frontend (Remote)","$110,000 - $130,000 a year","Digital Diagnostics, Inc.","Chicago, IL",Remote,,"Tackle complex challenges and projects with the highest levels of quality and execution for audiences that include top technologists, the FDA, and world-leading…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8a26e6021fce4875&fccid=0fb2a8a8ceb5119c&vjs=3,Yearly,110000.0,130000.0,120000.0,120000.0,90K - 120K
168,Ecommerce Unicorn Start up looking for AWS Lead Data Engineer / BI Engineer,"$125,000 - $180,000 a year",RTRP,"Chicago, IL",Remote,,"Ecommerce Unicorn Start up looking for AWS Lead Data Engineer / BI Engineer.
This role will define and deliver solutions that leverage data to enable the…",20 days ago,2021-01-15,https://www.indeed.com/company/Ricer-True/jobs/Ecommerce-Unicorn-Start-Aws-Lead-Data-Engineer-4e9a03773324ff42?fccid=a2ea2f98da62dbbf&vjs=3,Yearly,125000.0,180000.0,152500.0,152500.0,150K - 300K
180,Process Technician,From $17 an hour,Tec Air LLC,"Munster, IN",,,"Respond to machine alarms in a timely manner.
Capable of assisting in the training of machine operators.
Lead the troubleshooting and problem solving of press…",Today,2021-01-15,https://www.indeed.com/company/Tec-Air-Inc./jobs/Process-Technician-055811be56cdd476?fccid=f195c14081d5c282&vjs=3,Hourly,17.0,0.0,17.0,41548.0,0 - 50K
193,Sr. Data Engineer / Azure,$110 - $150 an hour,"Insight Enterprises, Inc.","Chicago, IL",,3.6,"You will work closely with client stakeholders and an award-winning team of engineers, architects and thought leaders to design, build and implement next…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f37c2855b587e7b4&fccid=69247daab4a84a92&vjs=3,Hourly,110.0,150.0,130.0,317720.0,300K - 600K
224,UI/UX Graphic Designer (Remote),"$70,000 - $90,000 a year","Digital Diagnostics, Inc.","Chicago, IL",Remote,,Strong communication skills: you should be comfortable working with both executive and engineers to create and iterate on designs.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4cc02aa150c7b737&fccid=0fb2a8a8ceb5119c&vjs=3,Yearly,70000.0,90000.0,80000.0,80000.0,70K - 90K
260,Lead Software Engineer,$60 - $80 an hour,Moorecroft Systems,"Chicago, IL",,,"Experience mentoring and coaching other engineers.
We have an excellent new consulting opportunity, a 6+ month engagement, for experienced *Lead Software…",22 days ago,2021-01-15,https://www.indeed.com/company/Moorecroft-Systems/jobs/Lead-Software-Engineer-b44d7f0bc03de430?fccid=fe9643a2684a6f9f&vjs=3,Hourly,60.0,80.0,70.0,171080.0,150K - 300K
1,Business Intelligence Analyst,"$64,000 - $70,000 a year",Convey Health Solutions is Hiring Now,"Fort Lauderdale, FL",,,"Responsible for accessing, validating, and querying data from data repositories using available tools (including SQL, Power BI).",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWxss4RyF_pwdzhopzipUKcTI6rpWap9ri7UYACBiWRrA28vr6dcJCtI3d2XKKpzXh4M60bYzDe733n19AQqhaAB8mAndzZV9GRP_VjnpTS5dTKuRLMTwqHIuuRXEIoVi0Um0XSPJaBBAZ-3e59o1kI0rQP8fimRZjRC0Ou6xl8rOAw_0oFJTQmNg2OeJG1kQB_dCeW5CZ5pJsloCm9p8UxYqQMcY5jhDHWbcsA2ar1qlpBaH1k0fM583eqgyClmmK1NnGeIBARscJr5es9SJTU5kE1nlNGF_R4usnqLB6vn_X6e_Onil5ApWbZ8eYkUjQ0-GK-Zm4OlDba5sOluyFU6z4zDxckZnv8tpKLbzp8ouzgN3dnreecq5M3FWdUHw5Gkh-0__PISN1BgQ4XZ1ScMF9Z3gEg6gUFG6dF5LzDm5eAPMxf1e8kowStlX6MUxh8MZat0CxbEHuTXijZk--2D_FFTwLHhc=&p=1&fvj=1&vjs=3,Yearly,64000.0,70000.0,67000.0,67000.0,50K - 70K
2,Business Intelligence Analyst,"$50,000 - $60,000 a year","Datavision Technologies, Inc.","Pembroke Pines, FL",,,"In this role, you will work closely with your team members and customers around the world to help them with creating reports, dashboards and visualizations…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxPke8PdZ5Q6UoxnxCkGP2XP-WGPvFLcx00DTZFxqbQH7Vl9muYBImMw8XXDBnfdaPlMtclInwZlfgT8CWG1H_yYCuZwq5_uqk5XdT02L6s_nVzisFFbAd97Ah8Z8wCo76ij2CWK4vuBJ5GnpnfDS9Vr7ATFinebUruQhB9SKGCz1BvGIg-y4mK5BxmFYo6QzScQl4Z5uPoF7mpu0VovVR3Xu1ng2Xh8GyALDGk4sTX-ATrj14QeswnLo26UyIvJDQ2x9LLqXsBN43l2Pn5ndEm5znfa0VBu9qlAHjrkCrB-VOD1X2qKGK9Am2SHz0M8LicUI3eTUXvKZxRarnjdH2e0w7htoeVAc9xRX4mqqDmVgQtBJblodQ1lP3uYuEE0NVqcaBm9M10tHU39S3sNU4__zwACF0UiZDn0o24I8Ho57LstfTamqFMnGnVm07DY79mWiyJ0h1t8QqJ5tmkMNMajNkDbqRVXzdQgOQt3u3bg==&p=2&fvj=1&vjs=3,Yearly,50000.0,60000.0,55000.0,55000.0,50K - 70K
8,Business Analyst (Data & Reporting),"$40,000 - $50,000 a year","Care Management Resources, LLC","Tamarac, FL",,,The candidate will be required to reconcile monthly financial data from several payers and assist in data preparation for the organization’s internal reporting…,1 day ago,2021-01-15,"https://www.indeed.com/company/Care-Management-Resources,-LLC/jobs/Business-Analyst-f2ad46eb4a94142d?fccid=94a757d4674370c7&vjs=3",Yearly,40000.0,50000.0,45000.0,45000.0,0 - 50K
9,Customer Support Data Analyst,"$40,000 - $75,000 a year",Hoover Pumping Systems,"Pompano Beach, FL",,4.0,"Provide internal sales support by showing data of pump station performance.
Previous service support or data analysis experience required (minimum 2 year+).",30+ days ago,2021-01-15,https://www.indeed.com/company/Hoover-Pumping-Systems/jobs/Customer-Support-Data-Analyst-379fceed00620785?fccid=5f0d08a725470cd8&vjs=3,Yearly,40000.0,75000.0,57500.0,57500.0,50K - 70K
10,Sr. Data Analyst,$60 - $75 an hour,CTI Consulting,"Deerfield Beach, FL",,2.3,7+ years experience working as a data analyst leveraging Business Intelligence tools in a centralized data warehouse environment.,3 days ago,2021-01-15,https://www.indeed.com/company/CTI-Consulting/jobs/Senior-Data-Analyst-6383caa01e6d4ea5?fccid=379434ad9862816d&vjs=3,Hourly,60.0,75.0,67.5,164970.0,150K - 300K
12,Business Analyst/Data Analyst,"From $85,000 a year",Insight Global Client - Confidential,"Boca Raton, FL",Temporarily remote,,"In this role you will work heavily with data.
8+ years of Business Analyst experience.
Prior experience as a Data Analyst, or BA roles that have heavy DA work…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCoSUOkIYlUzfXy5ApT4Kkb4Nm7KyFV8bdD-xbgpw2iyY_pSno-yn1dZRPcMvNpx-QCcq00LdWxAauKXwOhwo0iDW10SNK5rBcYFIFfDXer66VbsQF2mQJQmfL0gzAnu66Kfc546qqETQyCHPILCJjFb9vTFXhWTqD2dmKV7YqyrBQc3RYDlNpvMUPBzBjj7HuBnioKnCsN3yt1VCyAdOC_8ecFW7T8Dmm4ESdTTvILjQ2efHGZaq74ZQ32MmhR0bmEDznCReunpYql8ugKI52pM8CJvUUo40U9aqUWtSOzUvm_ijMGsUzTFLTFX8OtLNx1VNKFszOrHz5uAWFf-utlLOiz7eIcuShq1kSXMR7oyrYMveuARU4qZqgTSszwTzEUUopqYC2woNAepjJMdhANF3uqfbF5svAtufjxNGEmgIjcw79UiWJ9E=&p=12&fvj=1&vjs=3,Yearly,85000.0,0.0,85000.0,85000.0,70K - 90K
17,Sr. IT Business Analyst,$50 - $55 an hour,StevenDouglas,"Boca Raton, FL",Temporarily remote,5.0,"\* Minimum of 5 years of experience supporting enterprise projects.
Business analysis: 5 years (Required).
Waterfall methodology: 3 years (Required).",Just posted,2021-01-15,https://www.indeed.com/company/StevenDouglas/jobs/Senior-IT-Business-Analyst-c0382c7c42c473e5?fccid=5d4c422b65a2a803&vjs=3,Hourly,50.0,55.0,52.5,128310.0,120K - 150K
24,Operations Research & Data Analyst,"$53,362 - $55,000 a year",CareerSource Broward,"Fort Lauderdale, FL",,3.9,Monitor changes to data dictionaries for external systems and develop new data dictionaries for internal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6955e673c7f09a50&fccid=1ef1ff12d1dc097a&vjs=3,Yearly,53362.0,55000.0,54181.0,54181.0,50K - 70K
57,Sr. Business/Data Analyst with Major Fortune 500 Client,$40 - $55 an hour,Insight Global,"Boca Raton, FL",Temporarily remote,4.0,Require heavy work within the data warehouse and crucial we need someone with strong SQL skills and understanding data conversions and validation.,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt30QsYNOqnbgkS3m5U34F0BP0C4_EhwMT8hnqnWkhz8TORg8rBe6Z2Sin0RL8t1WI3q7RPtnzxZ1YUL-wkfUK9XN9h5OrK68PmTTd2EBZiWURlo9JFKvmFYYxeWZ1TEuBesJYplI8SOBpzeZGoPmsksizWt8uF_uGTVyJJoRrhWvgbO7hMr5VKBPyIaQBoL7lOAGU3zXOnHOgtSTB_To_-fjxSSITWHjjSZ0ceKLqsGO_v5JI0Xscs_qrJisAE3BnC2QmBJBcQ_XNawRAixz8bUrPgUaCGXfyo-7vqgnB0darLZWraSWJJnO37esjk_0r-y1E73BCxm0Rc5OJnzgiIhRFOIi8sLEJdTymHjwY2520H5qovpy-RAmxb7j2SThKhkjjDW0WlNx1fNUcXLvtPIoV2uNr2d_EBTYBkPYOPkpxM-uGlSyaLhj6BKE0UEQQ0RlgcEiLgPxI=&p=12&fvj=1&vjs=3,Hourly,40.0,55.0,47.5,116090.0,90K - 120K
143,Business Intelligence Manager,"$95,000 - $105,000 a year",Local Listings Directory,"Boca Raton, FL",Temporarily remote,,Identify data quality issues and support the data governance initiative by participating in necessary activities including data profiling.,27 days ago,2021-01-15,https://www.indeed.com/company/Local-Listings-Directory/jobs/Business-Intelligence-Manager-4ab1071f3db0a894?fccid=e2a797d62e440056&vjs=3,Yearly,95000.0,105000.0,100000.0,100000.0,90K - 120K
7,Sr. Data Analyst,$60 - $75 an hour,CTI Consulting,"Deerfield Beach, FL",,2.3,"Act in an advisory capacity in data model reviews, architecture approach and solution design to ensure high quality deliverables.",3 days ago,2021-01-15,https://www.indeed.com/company/CTI-Consulting/jobs/Senior-Data-Analyst-6383caa01e6d4ea5?fccid=379434ad9862816d&vjs=3,Hourly,60.0,75.0,67.5,164970.0,150K - 300K
0,Data Analyst,"$50,000 - $60,000 a year",Majoris Health Systems,"Lake Oswego, OR",Temporarily remote,,"Analytical and data driven with excellent attention to detail.
Convert large amounts of data into informative reports, provide analysis and recommendations…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtcQgrUypm88FFa19mMl2Smdk9Jt31BGGiD42_RpqFbX5F2aiDnoHUPu2D_yL_Qgtx6aaBAYA9EPERpuELyxmTRo0kUjUCWx2VCv785EFN0OmOUVoa5mI5gyiFF71X7kND07PabUOu8uAMJly_WX4xT0QSyP5ly8d2ofgcSEhau8Ju4WPIqip7E6ixwNNHgxO8iJvaVmybjV24gBJJrXPWXfspUAD8ToXK27Apu_7-gMlQFigv1yWIN7c4IF4d8DHGY4hTXHL4Kgma1h3P68K2EcoWFvXtGTBU3lpFLQRuS4UXg9gzpEMiJxDyjSoXtwbHDSsSBq-TSH6S0db-G3B2JnRzBCgwIMf83-UIPn6N9jPcFz-BUnPI2fIm9eu1HkmJlsPDnXdduNQaEBAOSlsaA778HAlmwVCm5AEsBQh5itpfJ3mEgF0XuhOzYt7tr3Y=&p=0&fvj=1&vjs=3,Yearly,50000.0,60000.0,55000.0,55000.0,50K - 70K
1,Data Analyst,$26 - $28 an hour,Orchid Health,"Portland, OR",Remote,,"3+ years experience working as a healthcare data analyst.
The data analyst position’s primary goal is to turn data into information, information into insight…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Almsh3G1xC2skUMBYS36f6JaAgwss9n56-bnqUNyY_SYM3Uua7MiDqMuTZW_PjT9BAKbOIajCrfpk7uEr1_Y2CeNOjBwR71rzyF8bpbFiyiGUG_CaDi9qsfXbqZBzaUmUqi1KEM8zwQr_alb9_hLiiBn-skSBEtD-TeW8IVNnzH1ynpuxneyPfxlNTGFXF5sOjQujL1Ym1AAoDQA0Y5gnSmDc0j-qzZltExFeWsn2sBXbVDx33X28Au9KbGRoTV_ue1A06ZE7GJ9R1lcJkDcRSU7L9B5fDnfIa6bx8PpLE5RssFDx0-Vf8BSiWEGhXbHS_PIHVDIzpADXdG33BaswRvhelGkQVuakaTSzjYYZ-IU-MfLxqj_uRjLjN2vjTcWNRZfRRCAprJ-JL3zk4v3IyNa1Tm7xdFI2MNleeYl4ev3eFPXLH7wwKWCnTzEv2fJY=&p=1&fvj=1&vjs=3,Hourly,26.0,28.0,27.0,65988.0,50K - 70K
2,Data Analyst,"$80,000 - $110,000 a year",CyberCoders,"Portland, OR",Remote,3.3,"If you are a Data Analyst with experience, please read on!
Complete automated reporting and analysis.
Brainstorm ways to contribute to UX and conversion.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4K8gMGiuc7SVcB55nrep3FZ__mQJPowXYbt2FCdrLDCv5-_zIOTZu-xuf9dwfRKB8hR1KatnxLfW7ujcQ-dEBCprDUkNIVoih6wOlXr8mzlfwlUJksRl1CXtIz7aqnGrb1FzdC7Yk_lsw1wQeS03CtRAb1DOc92mDKnXWGhILqSVfZH_H5KNRmWQOVBSGYb49dwSwLkOnyVzSFAVpF6AS8IHmhs2ww51LXB1j0XTAZq-thmoQB8LN_cgu2hlMs18CKuc0HuK88hPT5mWqhANjQa0MZyWz4LUifVoAs7gGwjXg_DZQ70W1EghsaF3QPMLqqPqRdap40Q6T98dn5CVAhpeUqWB46Mdua0hQtWN5fctbq23Vp2UewziIn_JIqxvt65FB7wGZPworNepKOFLArf4JqPM2N8JcSmQb06aoUvG1r04eBG1V8COfdeYOg8VXkX4e56rjjfzwIwyy6jnUVLC6ATi69iUv4DmST--mCoPHEQTJNx1YuwO3xsW6EIsYO62IStA_oXj_oUZxFPOC8UYm_D3DZ5vaM-V9csztxXlpR92JVUZBVBX4WNjeQpSwY41wVnGtSTX-5RYbrSvrk4JyvutvmjvndjZKA9FtNqVpFOq4FXR49HMfnO1YTM1FIS5laRHpwTO-xAzW2MUN7dL_zLzJGbV3qLlKG_hCdRlenQO3oTjt0GRHso6QB_qWGa-KC9HrXksRYIYLEMZk8erss50NfLL7M4RfUPQICChU9nzHa_4iCyVGFzb5a6tnfMxNqAmQ9CYW8UrIndDOwMJc9mlkEZ_50kUQEpENoTSLvSk9RQJZBZNVA96WErJqG_IxVu5nff6lJLtd06cjmvN_2dU7s0nYL71HwpQfgVdXBo3Vz8VSBtZXRx9MS2U-x2X5ihmLiRw==&p=2&fvj=0&vjs=3,Yearly,80000.0,110000.0,95000.0,95000.0,90K - 120K
3,Senior Data Insights Analyst,$50 - $55 an hour,Motus Recruiting and Staffing,"Portland, OR",,3.2,"Performing foundational data quality assessments of ingested data to ensure alignment w/ requirements and source systems.
Job Types: Full-time, Contract.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdPAAW0JUg3rPbYGSM1UHoQ1-S3jcjqhx4Qa7jWgotqFLDcCVuJ3bU79JiZunq77dKaweDSf3th0cbWA0SlRAutA6TbxGpkcGcKMmm4MEZaw3vc9yO0IneZWPsAx1tXKcrm3c3RBdsG9uLIKvd1h7nR0MxkaZwVMTDCoRxkTvq_rUyCRO-tewJ2FXDCQ8ERdckQnaVxSNys5q9-caVsbbkgv6V9FuFAtCyw6FoyXIL1gULxA71DRcDrDpzvRJtGLdLdAgMFJXyBfa3B09m6fTEs_SrHRu1Ay15-Q7zSk8ifqboYRtEO32iK-4CVsTfxH1ZmNdOy7m0c-enR1xaFYI6JwZCbxGny2MsmFlNvUJeIy-N0Np2rGVHpUd7l37-HXigqtrllp2gFlEMArk0EnYwTN0U_jzeAtSQDzQw22C4UZ1q5vH7nbPf9vtZnQYhy3JcYzT2THHgrD3lOY9ddJxvgQld6evMlNk=&p=3&fvj=1&vjs=3,Hourly,50.0,55.0,52.5,128310.0,120K - 150K
5,Data Analyst/Scientist/Engineer,"$65,000 - $120,000 a year",Cascade Data Labs,"Portland, OR",Temporarily remote,,"Build data pipelines to aid analysis and/or reporting.
We believe strongly that the difference between analytics success and failure comes down to practitioner…",30+ days ago,2021-01-15,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Analyst-Scientist-Engineer-32812ae6e0c7078d?fccid=d9a2e6caf751bd78&vjs=3,Yearly,65000.0,120000.0,92500.0,92500.0,90K - 120K
7,Data Analyst,"$50,000 - $65,000 a year","Go, Inc.","Portland, OR",,,"Proven working experience as a data analyst, researcher, statistician, data architect, or data engineer.
Understanding of open and closed data sources, legal…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88c385d588caa466&fccid=b0bbd996cc67dcab&vjs=3,Yearly,50000.0,65000.0,57500.0,57500.0,50K - 70K
8,Data Analyst,"$65,000 - $75,000 a year",Graphic Products,"Beaverton, OR",,1.7,"At least 2 years of experience working as a data analyst.
Perform data cleansing, ETL processes, and data imports.
Produce scheduled KPI reports for management.",7 days ago,2021-01-15,https://www.indeed.com/company/Graphic-Products/jobs/Data-Analyst-551f726644484cba?fccid=ecaf9e7c7d8aefbf&vjs=3,Yearly,65000.0,75000.0,70000.0,70000.0,50K - 70K
